phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,25,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,49042,1999.4,2000,0,2000,1,345,0,8,1540.400000000018,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,1,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,2000,1061.625,2000,0,2000,0,-1,0,6,797.625000000018,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,2,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,4000,1665.825,2000,0,2000,1,824,0,6,1270.8250000000007,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,3,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,6000,1952.8,2000,0,2000,1,284,0,8,1550.8000000000445,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,4,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,8000,2352.575,2000,0,2000,1,277,0,9,1911.575000000004,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,5,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,10000,2118.5,2000,0,2000,1,78,0,8,1698.5000000000473,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,6,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,12000,1579.15,2000,0,2000,1,624,0,6,1210.150000000002,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,7,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,14000,928.775,2000,0,2000,0,-1,0,5,685.7749999999999,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,8,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,16000,2384.3999,2000,0,2000,1,39,0,8,2002.3999999999378,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,9,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,18000,2047.625,2000,0,2000,1,42,0,7,1674.6249999999845,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,10,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,20000,1915.05,2000,0,2000,1,288,0,8,1517.0500000000416,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,11,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,22000,2368.7251,2000,0,2000,1,60,0,8,1921.7250000000622,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,12,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,24000,2198.8501,2000,0,2000,1,377,0,8,1787.850000000051,0.0,,,,,,,,,
evaluation,keiner,dmz,chain,None,eval_keiner_dmz_chain_seed2,13,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,26000,1091.275,2000,0,2000,0,-1,0,6,787.275000000019,0.0,,,,,,,,,
